N,CODIGO,Producto,Marca,UPC 1,UPC 2,UPC 3,UPC 4,UPC 5
1,IQ1,,Xiaomi,6934177757037,,,,
2,IQ2,Audífonos In-ear Inalámbricos Jbl Tune 130nc Tws Negro,JBL,050036383967,,,,
3,IQ3,Airdots,Xiaomi,6934177708800,,,,
4,IQ4,Mini Drone Dji Dji Mini 3 Pro Single Con Cámara 4k Gris 5.8ghz 1 Batería,Dji,190021063549,,,,
5,IQ5,"Xiaomi Banco De Energía Redmi De 20000 Mah, Carga Rápida",Xiaomi,6934177716874,,,,
6,IQ6,Buds 3 lite Negro,#REF!,6934177714573,,,,
7,IQ7,Asus Rog Ally 7 Amd Ryzen Z1 Extreme 16gb 512gb Blanco Color Blanco,Asus,197105131057,,,,
8,IQ8,Buds 3 lite Blancos,Xiaomi,6934177757020,,,,
9,IQ9,Audífonos In-ear Inalámbricos Xiaomi Redmi Buds 3 M2104e1 Blanco,Xiaomi,6934177746338,,,,
10,IQ10,Jbl ® Vibe 200 True Audífonos Inalámbricos Estuche Carga Ev - negro,JBL,050036382984,,,,
11,IQ11,Mi Box S,Xiaomi,6971408157044,,,,
12,IQ12,Audífonos Xiaomi Redmi Buds 4 Pro Midnight Black,Xiaomi,6934177776946,,,,
13,IQ13,Mi Band 8,Xiaomi,6941812722916,,,,
14,IQ14,XBOX RAZER WOLVERINE v2,Razer,811659039903,,,,
15,IQ15,Kraken Negros,Razer,811659031853,,,,
16,IQ16,Bocina Xiaomi Mi Portable Bluetooth Speaker (16w) Mdz-36-db Portátil Negra,Xiaomi,6971408153459,,,,
17,IQ17,Razer DeathAdder Essential Blanco,Razer,00791797074106,,,,
18,IQ18,Xiaomi Redmi Watch 3 Sport 1.75,Xiaomi,6941812705827,,,,
19,IQ19,LP40 BLANCO,Lenovo,6928760168775,,,,
20,IQ20,Razer Blackshark V 2 X GREEN,Razer,810056146238,,,,
21,IQ21,Proyector Xiaomi Mi Smart Projector 2 Tw Blanco,Xiaomi,6934177747199,,,,
22,IQ22,"Xiaomi Redmi Watch 2 Lite 1.55 Caja Ivory, Malla Ivory De Tpu",Xiaomi,6934177756092,,,,
23,IQ23,Kindle Paperwhite New Model 6.8 Pul Resiste Agua 8gb Tipo C,Amazon,810019527746,,,,
24,IQ24,Lenovo Tab M8,Lenovo,195713554152,,,,
25,IQ25,Audífonos In-ear Inalámbricos Jbl Under Armour Ua Project Rock Uaflashrock Black,JBL,50036347860,,,,
26,IQ26,Audífonos In-ear Inalámbricos Lenovo Livepods Lp40 Negro,Lenovo,6928760168768,,,,
27,IQ27,Xiaomi Scooter Electrico Electric Scooter 3 Lite (black),Xiaomi,6934177755255,,,,
